incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude
901948-1304,Beaconsfield St & Britain St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-12-13 00:38:00,0907,09,48224,-82.94731440539826,42.42217801116892
1300107-1304,Riverview St & Schoolcraft St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-06-26 03:31:00,0601,06,48223,-83.27332661088553,42.385412756057015
662839-1304,Brush St & Gratiot Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-05 23:50:00,0312,03,48226,-83.04466292770573,42.33584725758372
1077869-1304,Stahelin Ave & Vassar Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-01-23 20:18:00,0803,08,48219,-83.22791302956172,42.433498600798224
1156814-1304,Piper Blvd & Avondale St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-07-20 14:17:00,0512,05,48215,-82.94362058133807,42.363188742336135
1385220-1304,Coyle St & Lyndon St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-01-14 00:01:00,0202,02,48227,-83.19351433576692,42.39441461658336
780872-1304,Lindsay St & W 8 Mile Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-05 02:19:00,0804,08,48235,-83.21495553104042,42.44430359394048
1205827-1304,Hoover St & Eastwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-11-07 03:01:00,0904,09,48205,-83.00458335112987,42.43264567805576
1136766-1304,Coventry St & E Remington Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-06-08 01:49:00,1101,11,48203,-83.10161136885199,42.4421664076184
1038085-1304,W Buena Vista St & Meyers Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-10-22 04:19:00,0205,02,48227,-83.16852369190471,42.38340994714464
1034620-1304,Pallister St & Poe St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-10-14 16:58:00,1008,10,48206,-83.08871386001303,42.36855753435032
1031451-1304,Whitfield St & Beechwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-10-07 17:29:00,1006,10,48204,-83.13271357313619,42.36425000664657
1030235-1304,Woodward Ave & E Adams Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-10-05 03:18:00,0311,03,48226,-83.05089479138557,42.33698895689073
1027003-1304,Greenfield Rd & Plymouth Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-09-27 20:35:00,0605,06,48227,-83.19755565433134,42.37256042095681
950974-1304,Marlowe St & Keeler St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-04-14 20:56:00,0201,02,48227,-83.19015429651455,42.403594313093926
662106-1304,Greenfield Rd & Grand River Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-04 03:25:00,0814,08,48227,-83.19835730436223,42.39266906287061
1162537-1304,Birwood St & Oakman Blvd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-08-01 16:28:00,0208,02,48204,-83.16295253379361,42.35658042855506
1316234-0903,Meyers Rd & W 8 Mile Rd,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,0903,09003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2025-07-30 21:25:00,1202,12,,-83.17125856931335,42.44540976413536
1076028-1304,Verne St & Telegraph Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-01-19 01:20:00,0809,08,48219,-83.27680315609216,42.410498046221576
1291149-1304,Faircrest St & Salter St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-06-06 04:38:00,0906,09,48205,-82.96056726068001,42.43244983844663
1176453-1304,Van Dyke St & Stockton St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-08-31 00:21:00,1105,11,48234,-83.02405471811781,42.42874938644864
1176448-1304,Hamilton Ave & Webb St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-09-01 06:27:00,1005,10,48202,-83.09746457759127,42.38944340021763
1381166-1304,Puritan St & Steel St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-01-03 02:45:00,1210,12,48235,-83.17185596846655,42.4095098050266
997117-0901,Norfolk St & Ward St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2023-07-24 22:58:00,1202,12,48235,-83.17551631903093,42.4429803086981
904762-0901,Hickory St & Lappin St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-12-19 18:58:00,0901,09,48205,-82.9876131870752,42.43690934794026
1316265-0902,Meyers Rd & W 8 Mile Rd,HOMICIDE,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),0902,09002,NEGLIGENT HOMICIDE / MANSLAUGHTER (INVOLUNTARY),2025-07-30 21:25:00,1202,12,,-83.17125856931335,42.44540976413536
1381685-1304,Cathedral St & Longacre St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-01-04 16:04:00,0608,06,48228,-83.21411938852293,42.36149240841328
1317481-0901,Auburn St & Lyndon St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-08-02 18:42:00,0813,08,48223,-83.23474289613618,42.39354012319811
