incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude,cvi_zone,buffer,cvi_area
1302708-1304,Saint Aubin St & E Larned St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-07-01 14:07:00,709,7,48207.0,-83.02836299566307,42.33681229412801,Non-CVI,False,Non-CVI
1385874-1304,Forrer St & W 7 Mile Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2026-01-16 00:54:00,808,8,48235.0,-83.20301706243876,42.4303741238453,Detroit Peoples Community,False,Detroit Peoples Community
1404664-0903,Minock St & W Davison St,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,2026-03-09 02:06:00,604,6,48223.0,-83.23312226754928,42.38399758537821,Non-CVI,False,Non-CVI
1357812-0901,Cheshire St & Moross Rd,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-11-02 13:10:00,505,5,48236.0,-82.92388969688419,42.4226100404551,Non-CVI,False,Non-CVI
813380-1304,Leonard St & S Bassett St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-05-16 18:55:00,411,4,48217.0,-83.14238910012534,42.27797786739278,Non-CVI,False,Non-CVI
1092561-1304,Lyndon St & N M 39,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-02-27 00:10:00,814,8,48223.0,-83.21791076840569,42.39390357970603,Detroit 300,True,Detroit 300
1090819-1304,Florence St & Prairie St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-02-23 23:00:00,1211,12,48221.0,-83.14494770152866,42.412303018618026,Non-CVI,False,Non-CVI
1397342-1304,Burt Rd & Verne St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2026-02-17 18:21:00,810,8,48219.0,-83.24759411607421,42.41136032250241,Non-CVI,False,Non-CVI
678254-1304,Eaton St & Winthrop St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-09 05:35:00,814,8,48227.0,-83.19995568006051,42.3966590758955,Detroit 300,False,Detroit 300
1404152-0903,W McNichols Rd & Livernois Ave,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,2026-03-07 17:38:00,1209,12,48221.0,-83.14084021795523,42.41715315093414,Non-CVI,False,Non-CVI
1221693-0901,Wildemere St & W Buena Vista St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2024-12-16 18:33:00,1003,10,48238.0,-83.12605166267326,42.38896197287472,Non-CVI,False,Non-CVI
736334-1304,Fullerton St & Ewald Cir,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-08 19:13:00,1002,10,48238.0,-83.14512460632983,42.38107333992555,Non-CVI,False,Non-CVI
1396742-0901,N Campbell St & Michigan Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2026-02-16 16:24:00,406,4,48210.0,-83.11400368832675,42.331163128617,Non-CVI,False,Non-CVI
