incident_entry_id,nearest_intersection,offense_category,offense_description,state_offense_code,arrest_charge,charge_description,incident_occurred_at,scout_car_area,police_precinct,zip_code,longitude,latitude,cvi_zone,buffer,cvi_area
1049290-1304,Clarita St & Plainview Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-15 06:20:00,807,8,48219.0,-83.23764289583966,42.42719117233391,Detroit Peoples Community,False,Detroit Peoples Community
1048515-1304,Reno St & Bringard Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-11-13 16:00:00,902,9,48205.0,-82.98308622908723,42.44589102787434,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1048289-0901,St Antoine St & Farnsworth St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-11-13 03:06:00,306,3,48202.0,-83.05817773653204,42.3611723514781,Non-CVI,False,Non-CVI
1046544-1304,E Larned St & Chene St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-09 07:30:00,710,7,48207.0,-83.02326650909897,42.338992330577895,Non-CVI,False,Non-CVI
685907-1304,Auburn St & W Warren Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-28 13:00:00,610,6,48228.0,-83.23291836442498,42.343173928630016,Force Detroit,False,Force Detroit
1050035-1304,Greenfield Rd & Grove St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-16 23:25:00,812,8,48235.0,-83.19923547192448,42.41417790567012,Non-CVI,False,Non-CVI
640614-0901,Spring Garden St & Peoria St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-03-05 00:00:00,906,9,48205.0,-82.97715355285727,42.427845583273445,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
816383-1304,Dover St & Burt Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-05-23 20:36:00,606,6,48228.0,-83.2456454787277,42.35915308731591,Force Detroit,False,Force Detroit
640406-0901,Anglin St & Jerome St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-03-04 18:10:00,1107,11,48212.0,-83.07419302726811,42.41902815244528,Live in Peace,False,Live in Peace
1047651-0901,Keeler St & Fielding St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-11-11 14:45:00,810,8,48223.0,-83.24269855624168,42.40240559369231,Non-CVI,False,Non-CVI
640354-0901,Orangelawn St & Piedmont St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-03-04 02:15:00,607,6,48228.0,-83.22883183166844,42.3672607052936,Force Detroit,False,Force Detroit
778878-1304,Vassar Ave & Rosemont Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-02 23:00:00,803,8,48219.0,-83.22189681546453,42.43359231326431,Detroit Peoples Community,False,Detroit Peoples Community
810490-1304,Grand River Ave & Washburn St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-05-10 01:04:00,205,2,48204.0,-83.15978479372475,42.37713533870508,Non-CVI,False,Non-CVI
1265518-1304,Owen St & Woodward Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-04-09 22:17:00,1005,10,48202.0,-83.081729002354,42.382822453550325,Non-CVI,False,Non-CVI
1044857-1304,Gainsborough Rd & Avon Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-05 19:17:00,811,8,48223.0,-83.22582919018892,42.40570641358271,Non-CVI,False,Non-CVI
1341414-0901,Cornwall St & Chatsworth St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-09-25 21:56:00,506,5,48224.0,-82.94457901891326,42.39858186251765,Non-CVI,False,Non-CVI
1039640-1304,E 7 Mile Rd & Alcoy St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-10-25 07:25:00,901,9,48205.0,-82.98877739845256,42.43484657320927,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1034998-1304,Dexter Ave & Collingwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-10-15 14:08:00,1004,10,48206.0,-83.12229544370553,42.37704042002295,Non-CVI,False,Non-CVI
1039422-1304,S Fort St & Schaefer,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-10-25 00:30:00,415,4,48217.0,-83.15547877146065,42.27641883819285,Non-CVI,False,Non-CVI
1166232-1304,Dickerson St & Maiden St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-08-09 18:47:00,910,9,48213.0,-82.97529999088198,42.4057736192633,Detroit Friends & Family,False,Detroit Friends & Family
1022332-1304,Andover St & E Remington Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-09-17 16:14:00,1101,11,48203.0,-83.09945222564761,42.44221361442084,Live in Peace,False,Live in Peace
1035599-1304,Prince Hall Dr & Campau Farms Cir,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-10-17 01:08:00,710,7,48207.0,-83.0238570922205,42.3482826472385,Non-CVI,False,Non-CVI
1348909-1304,Linwood St & Calvert St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-10-13 01:44:00,1005,10,48206.0,-83.1127918903518,42.37962301199742,Non-CVI,False,Non-CVI
640052-0901,Santa Clara Ave & Annchester Rd,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-03-03 13:47:00,807,8,48219.0,-83.23512837258708,42.419419199112056,Non-CVI,False,Non-CVI
1319405-1304,E Grixdale St & Fleming St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-08-06 23:47:00,1107,11,48234.0,-83.07917193582621,42.428307153583,Live in Peace,False,Live in Peace
1341278-0903,Schoenherr St & E 8 Mile Rd,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV      ,2025-09-25 17:53:00,901,9,,-82.98563596245734,42.44927758007375,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
961173-1304,Beaconsfield Rd & Kingsville Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2023-05-08 00:54:00,907,9,48224.0,-82.94042932398153,42.43131207414343,Non-CVI,False,Non-CVI
1228684-0901,Carlisle St & Rex St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-01-04 16:07:00,903,9,48205.0,-82.95863538469185,42.44913787541209,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1285868-0901,Brock St & Troester St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-05-25 11:15:00,906,9,48205.0,-82.96279589954855,42.42643516237755,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1281219-0901,Hoover St & Sturgis St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-05-14 22:50:00,901,9,48205.0,-83.00483939930149,42.43868381398565,Non-CVI,False,Non-CVI
1317179-1304,Mitchell St & E Lantz St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-08-01 21:02:00,1102,11,48234.0,-83.07249024379949,42.43791993946354,Live in Peace,False,Live in Peace
1317170-0901,Mitchell St & E Lantz St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-08-01 21:02:00,1102,11,48234.0,-83.07249024379949,42.43791993946354,Live in Peace,False,Live in Peace
905745-0901,Drew Ct & Banneker Ct,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-12-22 10:48:00,502,5,48213.0,-82.97477923786094,42.39069586398867,Non-CVI,False,Non-CVI
1044811-1304,Murray Hill St & Santa Maria St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-05 17:11:00,808,8,48235.0,-83.20800561509756,42.41761104928857,Non-CVI,False,Non-CVI
1289224-1304,Saint Aubin St & E Larned St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-06-02 03:30:00,709,7,48207.0,-83.02836299566307,42.33681229412801,Non-CVI,False,Non-CVI
1045897-1304,Fullerton St & Memorial St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-07 19:53:00,605,6,48227.0,-83.21231661818902,42.37979690097924,Detroit 300,False,Detroit 300
1180852-1304,Healy St & E Nevada St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-09-10 17:23:00,1108,11,48234.0,-83.05510861375356,42.42606526625182,Live in Peace,False,Live in Peace
639266-1304,Trumbull St & W Grand Blvd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-28 21:30:00,1008,10,48202.0,-83.08455074755715,42.36596205575015,Non-CVI,False,Non-CVI
667274-1304,Gunston St & Nashville St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-05-16 20:43:00,909,9,48205.0,-83.00105481428697,42.41700048823872,Non-CVI,False,Non-CVI
639361-1304,Beland St & E 7 Mile Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-28 02:00:00,901,9,48234.0,-83.0092366581504,42.43431876341918,Non-CVI,False,Non-CVI
1323964-1304,Maccrary Ave & Park Grove St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-08-17 01:19:00,906,9,48205.0,-82.97024234191133,42.42992967846664,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1304687-1304,E Jefferson Ave & Meldrum St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-07-06 00:43:00,710,7,48207.0,-83.00851904669565,42.34432116933783,Non-CVI,False,Non-CVI
621541-1304,E Jefferson Ave & Meldrum St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-01-07 11:32:00,710,7,48207.0,-83.00851904669565,42.34432116933783,Non-CVI,False,Non-CVI
638455-0901,S Annabelle St & Miami St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-02-26 23:23:00,415,4,48217.0,-83.1527620531875,42.27239270843654,Non-CVI,False,Non-CVI
711895-1304,Gavel St & Meyers Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-09-03 20:11:00,203,2,48227.0,-83.16895182582766,42.393197416870045,New Era CC,False,New Era CC
1334389-1304,W Chicago St & Robson St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-09-09 20:40:00,207,2,48227.0,-83.19183425491285,42.36549238564585,Detroit 300,True,Detroit 300
711922-1304,Grand River Ave & Lothrop St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-09-03 21:51:00,1006,10,48204.0,-83.11094575218385,42.357427910194446,Non-CVI,False,Non-CVI
1037651-0903,Whittier St & Riad St,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2023-10-20 20:21:00,907,9,48224.0,-82.96110935981393,42.420280395077086,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1159550-0901,Mansfield St & Kramer St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2024-07-26 17:30:00,608,6,48228.0,-83.20329134752753,42.35906251769709,Non-CVI,False,Non-CVI
1304307-0901,Monica St & Pilgrim St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2025-07-05 01:35:00,1211,12,48238.0,-83.14371175549991,42.40753822153877,Non-CVI,False,Non-CVI
1343328-1304,Trojan St & Plainview Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-09-30 09:29:00,803,8,48219.0,-83.23804912820968,42.44036789042172,Detroit Peoples Community,False,Detroit Peoples Community
1330804-1304,Dean St & E Davison St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-09-02 01:31:00,1111,11,48212.0,-83.05970478686511,42.41620363190466,Non-CVI,False,Non-CVI
711967-0901,Cornwall St & Buckingham Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-09-04 00:04:00,506,5,48224.0,-82.94270861955047,42.39926514131793,Non-CVI,False,Non-CVI
638435-1304,Grand River Ave & Lesure St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-26 23:46:00,204,2,48227.0,-83.17997112431905,42.38526348467904,Non-CVI,False,Non-CVI
638770-1304,Lyndon St & Meyers Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-28 01:30:00,203,2,48227.0,-83.16904259159246,42.39503977373738,New Era CC,False,New Era CC
638434-0901,Schoolcraft St & Archdale St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-02-26 19:42:00,814,8,48227.0,-83.21626458998634,42.38673230407958,Detroit 300,False,Detroit 300
778896-1304,Schoolcraft St & Archdale St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-26 19:42:00,814,8,48227.0,-83.21626458998634,42.38673230407958,Detroit 300,False,Detroit 300
1012350-1304,Schaefer & S Edsel St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-08-26 17:35:00,411,4,48217.0,-83.15424886718215,42.2758078392759,Non-CVI,False,Non-CVI
675199-1304,Prest St & Tireman Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-06-04 23:59:00,207,2,48228.0,-83.19551266395253,42.350953290137205,Non-CVI,False,Non-CVI
1347883-1304,Kendall St & Heyden St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-10-09 16:27:00,602,6,48223.0,-83.23904222262904,42.38862626081716,Non-CVI,False,Non-CVI
812723-0903,Central St & Saint Stephens St,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2022-05-15 02:00:00,404,4,48210.0,-83.13550126516354,42.32812896645698,Non-CVI,False,Non-CVI
917545-1304,Justine St & E Nevada St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-01-21 23:36:00,1108,11,48234.0,-83.05838158828487,42.42600294482666,Live in Peace,True,Live in Peace
1341943-1304,Plymouth Rd & Hubbell St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-09-27 07:13:00,204,2,48227.0,-83.18774033766033,42.37283407933033,Non-CVI,False,Non-CVI
1339602-1304,Peck Ave & Conner St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-09-20 11:41:00,502,5,48215.0,-82.96859078421335,42.38465039874916,Non-CVI,False,Non-CVI
1044596-0901,Hayes St & E Outer Dr,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-11-05 00:19:00,909,9,48213.0,-82.96476190126376,42.414702537829086,Detroit Friends & Family,False,Detroit Friends & Family
852490-1304,W Grand Blvd & Lincoln St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2022-08-16 18:50:00,1008,10,48202.0,-83.08259027063764,42.36679265108998,Non-CVI,False,Non-CVI
1015324-0901,Joy Rd & Lawton St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2023-09-01 23:35:00,1005,10,48206.0,-83.1115416662584,42.372443198610505,Non-CVI,False,Non-CVI
637223-1304,Moross Rd & Chandler Park Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-23 18:32:00,505,5,48236.0,-82.9151376719804,42.41886798829204,Non-CVI,False,Non-CVI
841576-0901,Lyndon St & Bentler St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2022-07-22 08:00:00,602,6,48223.0,-83.25170036944799,42.393169746880496,Non-CVI,False,Non-CVI
1207209-0901,3rd St & Delaware St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2024-11-07 17:50:00,307,3,48202.0,-83.08187234481743,42.37191733514497,Non-CVI,False,Non-CVI
1206173-1304,3rd St & Delaware St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2024-11-07 17:50:00,307,3,48202.0,-83.08187234481743,42.37191733514497,Non-CVI,False,Non-CVI
1017971-1304,Riad St & Yorkshire Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-09-07 22:07:00,907,9,48224.0,-82.95975052080857,42.42209637262654,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
1268697-1304,Plainview Ct & Plainview Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-04-16 12:00:00,803,8,48219.0,-83.23788193884643,42.43392147392034,Detroit Peoples Community,False,Detroit Peoples Community
880010-0901,Carter St & Quincy St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY)             ,2022-10-21 10:05:00,1007,10,48204.0,-83.1192588943735,42.36521945509604,Non-CVI,False,Non-CVI
1348879-1304,Hazel St & Rosa Parks Blvd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-10-12 21:41:00,308,3,48208.0,-83.07825828333105,42.34241023305121,Non-CVI,False,Non-CVI
1289206-1304,Montrose St & Acacia St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-06-01 22:05:00,814,8,48227.0,-83.20041634536703,42.39171557049337,Detroit 300,False,Detroit 300
1044731-1304,Dexter Ave & Collingwood St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-05 10:00:00,1004,10,48206.0,-83.12229544370553,42.37704042002295,Non-CVI,False,Non-CVI
1289916-0903,Saint Aubin St & E Larned St,HOMICIDE,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,903,9003,NEGLIGENT HOMICIDE - VEHICLE / BOAT / SNOWMOBILE / ORV,2025-06-03 16:31:00,709,7,48207.0,-83.02836299566307,42.33681229412801,Non-CVI,False,Non-CVI
1044626-1304,Fenkell St & Whitcomb St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2023-11-05 03:03:00,201,2,48227.0,-83.19627337183282,42.401596202583136,Detroit 300,False,Detroit 300
1074808-1304,Fairmount Dr & Shakespeare St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2024-01-15 17:53:00,903,9,48205.0,-82.94865034037429,42.44482237172412,Wayne Metro/Team Pursuit,False,Wayne Metro/Team Pursuit
996338-0901,Prest St & W McNichols Rd,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-07-23 02:15:00,1206,12,48235.0,-83.19811722792743,42.41603454336524,Non-CVI,False,Non-CVI
638019-0901,Wykes St & Tireman St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-02-22 11:00:00,210,2,48210.0,-83.14192385953055,42.352041519513335,Non-CVI,False,Non-CVI
1271706-0901,Harper Ave & Coplin St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-04-24 02:01:00,910,9,48213.0,-82.97044188617268,42.40294769641943,Detroit Friends & Family,False,Detroit Friends & Family
778891-1304,Kay St & Broadstreet Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-22 16:40:00,1004,10,48204.0,-83.12758654207731,42.36966508183728,Non-CVI,False,Non-CVI
1317697-1304,Dean St & Emery St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-08-03 00:51:00,1103,11,48234.0,-83.06222094053827,42.43573315701592,Live in Peace,False,Live in Peace
636399-1304,Schaefer Hwy & W McNichols Rd,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-21 06:00:00,1206,12,48235.0,-83.1797983731317,42.41659831356609,New Era CC,False,New Era CC
935962-0901,Pickford St & Heyden St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2023-03-06 14:39:00,806,8,48219.0,-83.24053120293718,42.424447598936254,Detroit Peoples Community,False,Detroit Peoples Community
1289916-0901,Saint Aubin St & E Larned St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2025-06-03 16:31:00,709,7,48207.0,-83.02836299566307,42.33681229412801,Non-CVI,False,Non-CVI
671845-0901,E Brentwood St & Packard St,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-05-27 21:15:00,1109,11,48234.0,-83.02749823861892,42.43299375933864,Non-CVI,False,Non-CVI
636437-1304,Gratiot Ave & E Outer Dr,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-02-20 23:10:00,909,9,48213.0,-82.9964935897664,42.406426589107184,Detroit Friends & Family,False,Detroit Friends & Family
1345458-1304,Sawyer St & Ashton Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-10-05 03:14:00,610,6,48228.0,-83.21730014199036,42.34704144149299,Force Detroit,False,Force Detroit
1304686-1304,Marion Ave & Astor St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2025-07-05 23:50:00,701,7,48213.0,-83.01693193638444,42.39483024953167,Non-CVI,False,Non-CVI
712788-1304,Plymouth Rd & Whitcomb St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING,1304,13004,NON-FATAL SHOOTING,2021-09-01 12:25:00,207,2,48227.0,-83.19534991367325,42.372624720474434,Detroit 300,False,Detroit 300
1281188-1304,Guilford St & Mack Ave,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-05-15 00:39:00,507,5,48224.0,-82.92044911578553,42.39717791086412,Non-CVI,False,Non-CVI
1304355-1304,Acacia St & Bentler St,AGGRAVATED ASSAULT,NON-FATAL SHOOTING                                          ,1304,13004,NON-FATAL SHOOTING                                          ,2025-07-05 02:30:00,602,6,48223.0,-83.25160865314918,42.39078355064171,Non-CVI,False,Non-CVI
635895-0901,Wayburn St & Harper Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-02-19 11:22:00,911,9,48224.0,-82.95942110874577,42.40618566147862,Detroit Friends & Family,False,Detroit Friends & Family
639829-0901,Drexel St & E Warren Ave,HOMICIDE,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021-02-20 16:05:00,503,5,48215.0,-82.9650694548476,42.39321194798967,Non-CVI,False,Non-CVI
