GEOID,total_population,poverty_universe,below_poverty,housing_units,occupied_units,vacant_units
26163520400,1629.0,1629.0,614.0,1250.0,889.0,361.0
26163520700,2963.0,2952.0,705.0,3165.0,2431.0,734.0
26163520800,1423.0,1423.0,188.0,1160.0,906.0,254.0
26163521100,1760.0,1710.0,394.0,955.0,777.0,178.0
26163521400,1363.0,1359.0,308.0,922.0,754.0,168.0
26163521500,1157.0,1157.0,616.0,680.0,553.0,127.0
26163521800,1739.0,1739.0,695.0,1094.0,1049.0,45.0
26163521900,2924.0,2916.0,693.0,1453.0,1289.0,164.0
26163522000,1620.0,1603.0,946.0,977.0,792.0,185.0
26163522300,1141.0,1141.0,667.0,1116.0,757.0,359.0
26163522400,848.0,848.0,402.0,586.0,495.0,91.0
26163522500,1678.0,1665.0,932.0,1583.0,854.0,729.0
26163522800,1179.0,1179.0,268.0,860.0,594.0,266.0
26163523100,1341.0,1341.0,550.0,721.0,582.0,139.0
26163523200,2931.0,2915.0,1137.0,1081.0,879.0,202.0
26163523300,3074.0,3074.0,399.0,1136.0,888.0,248.0
26163523400,2302.0,2302.0,666.0,1234.0,883.0,351.0
26163523800,4447.0,4440.0,1040.0,1522.0,1367.0,155.0
26163524001,2695.0,2695.0,740.0,1000.0,914.0,86.0
26163524101,4131.0,4131.0,1790.0,1661.0,1419.0,242.0
26163524200,4546.0,4546.0,1102.0,1665.0,1413.0,252.0
26163524300,2328.0,2328.0,773.0,929.0,766.0,163.0
26163524500,32.0,32.0,0.0,14.0,14.0,0.0
26163524600,1265.0,1264.0,556.0,928.0,633.0,295.0
26163524700,3620.0,3619.0,738.0,1811.0,1581.0,230.0
26163524800,2785.0,2785.0,293.0,1246.0,1080.0,166.0
26163525400,2145.0,2145.0,695.0,788.0,702.0,86.0
26163525700,4414.0,4414.0,1154.0,1762.0,1624.0,138.0
26163525800,1966.0,1944.0,649.0,657.0,483.0,174.0
26163525900,2747.0,2736.0,999.0,929.0,730.0,199.0
26163526000,2837.0,2833.0,1242.0,927.0,829.0,98.0
26163526100,2633.0,2633.0,775.0,745.0,649.0,96.0
26163526200,2927.0,2927.0,1230.0,859.0,751.0,108.0
26163526300,2961.0,2919.0,1469.0,1305.0,1065.0,240.0
26163526400,1380.0,1380.0,581.0,446.0,366.0,80.0
26163526500,1418.0,1418.0,747.0,1079.0,455.0,624.0
26163527900,1968.0,1968.0,668.0,1577.0,780.0,797.0
