pair_id,pair_cvi_name,zone_name,zone_type,treated,month,crime_count,calls_count,post,treated_post,log_calls,month_str,zone_id
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-04-01,4.0,11.0,1,0,2.485,2025-04,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-05-01,0.0,12.0,1,0,2.565,2025-05,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-06-01,3.0,17.0,1,0,2.89,2025-06,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-07-01,4.0,12.0,1,0,2.565,2025-07,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-08-01,3.0,12.0,1,0,2.565,2025-08,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-09-01,0.0,7.0,1,0,2.079,2025-09,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-10-01,1.0,8.0,1,0,2.197,2025-10,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-11-01,0.0,6.0,1,0,1.946,2025-11,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2025-12-01,2.0,4.0,1,0,1.609,2025-12,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2026-01-01,0.0,6.0,1,0,1.946,2026-01,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2026-02-01,0.0,2.0,1,0,1.099,2026-02,CAND_0036
PAIR_01,Detroit 300,CAND_0036,Control,0,2026-03-01,0.0,7.0,1,0,2.079,2026-03,CAND_0036
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-01-01,7.0,39.5,0,0,3.701,2021-01,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-02-01,4.0,28.5,0,0,3.384,2021-02,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-03-01,3.5,47.5,0,0,3.882,2021-03,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-04-01,7.5,43.5,0,0,3.795,2021-04,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-05-01,9.0,38.5,0,0,3.676,2021-05,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-06-01,8.5,37.0,0,0,3.638,2021-06,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-07-01,13.5,27.0,0,0,3.332,2021-07,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-08-01,6.0,36.5,0,0,3.624,2021-08,Detroit 300
PAIR_01,Detroit 300,Detroit 300,CVI,1,2021-09-01,6.0,44.5,0,0,3.818,2021-09,Detroit 300
