cvi_name,candidate_id,total_distance,violence_distance,structural_distance
Detroit 300,CAND_0036,5.07095502118319,3.713726051304406,7.106798476001365
Detroit Friends & Family,CAND_0269,6.721440002479204,7.096196003977262,6.159306000232116
Detroit Peoples Community,CAND_0108,6.663351740745261,5.565259894606082,8.310489509954028
Force Detroit,CAND_0213,6.023197187779358,4.034604253667825,9.006086588946655
Live in Peace,CAND_0380,8.65810475489128,11.168062847401448,4.893167616126029
New Era CC,CAND_0513,5.322006705519031,4.930860652166062,5.9087257855484845
Team Pursuit,CAND_0168,9.458807227501053,11.589348680910865,6.262995047386335
