cvi_name,candidate_id,total_distance,violence_distance,structural_distance,cvi_area_sq_miles,candidate_area_sq_miles,abs_diff_area_sq_miles,cvi_total_population,candidate_total_population,abs_diff_total_population,cvi_poverty_rate,candidate_poverty_rate,abs_diff_poverty_rate,cvi_vacancy_rate,candidate_vacancy_rate,abs_diff_vacancy_rate,cvi_population_density_per_sq_mile,candidate_population_density_per_sq_mile,abs_diff_population_density_per_sq_mile,cvi_pre_avg_monthly_events,candidate_pre_avg_monthly_events,abs_diff_pre_avg_monthly_events,cvi_pre_avg_monthly_rate_per_1000,candidate_pre_avg_monthly_rate_per_1000,abs_diff_pre_avg_monthly_rate_per_1000,cvi_pre_monthly_sd,candidate_pre_monthly_sd,abs_diff_pre_monthly_sd,cvi_pre_trend_slope,candidate_pre_trend_slope,abs_diff_pre_trend_slope
Detroit 300,CAND_0036,5.07095502118319,3.713726051304406,7.106798476001365,4.485922,4.191453209722677,0.29446879027732376,25717.41,12138.0,13579.41,0.296752,0.41861639454637267,0.12186439454637266,0.185104,0.3443228454172367,0.1592188454172367,5732.91,2895.8929976467753,2837.0170023532246,5.096774193548387,2.6129032258064515,2.4838709677419355,0.19818380597223387,0.21526637220353037,0.017082566231296503,2.4672675065771537,1.9947903011277814,0.4724772054493722,-0.02620967741935491,-0.034677419354838805,0.008467741935483896
Detroit Friends & Family,CAND_0269,6.721440002479204,7.096196003977262,6.159306000232116,3.815564,3.522239548481416,0.293324451518584,22802.87,10438.0,12364.869999999999,0.374105,0.343587771582388,0.030517228417612008,0.27119,0.2779503105590062,0.006760310559006222,5976.28,2963.4554539313644,3012.8245460686353,5.451612903225806,1.3870967741935485,4.064516129032258,0.23907573490643091,0.1328891333774237,0.10618660152900722,2.8379764448932607,1.7166625413742023,1.1213139035190585,0.042741935483870924,-0.013709677419354875,0.0564516129032258
Detroit Peoples Community,CAND_0108,6.663351740745261,5.565259894606082,8.310489509954028,4.377687,4.0328312896922025,0.3448557103077974,29772.93,12460.0,17312.93,0.326329,0.4158829676071055,0.08955396760710554,0.139912,0.2192664248286981,0.07935442482869809,6801.06,3089.6407771501354,3711.419222849865,4.645161290322581,1.3548387096774193,3.290322580645162,0.1560196221978348,0.10873504893077202,0.047284573267062785,2.403604646477053,1.3571409011588793,1.0464637453181735,-0.03629032258064526,-0.06975806451612906,0.033467741935483804
Force Detroit,CAND_0213,6.023197187779358,4.034604253667825,9.006086588946655,3.923442,3.5735173127980713,0.3499246872019288,26076.25,8327.0,17749.25,0.41737,0.3927916921197312,0.024578307880268824,0.160245,0.287916572205849,0.127671572205849,6646.27,2330.1971898045576,4316.072810195443,4.516129032258065,1.903225806451613,2.612903225806452,0.17318935936946706,0.22856080298446174,0.055371443614994686,2.460933048098149,1.9236195504355578,0.5373134976625911,0.017338709677419357,0.017741935483870944,0.0004032258064515862
Live in Peace,CAND_0380,8.65810475489128,11.168062847401448,4.893167616126029,5.034027,4.309213252046862,0.7248137479531378,24261.68,15517.0,8744.68,0.362766,0.2974246433873362,0.06534135661266377,0.300297,0.17420408163265305,0.12609291836734693,4819.54,3600.889325361068,1218.6506746389318,5.225806451612903,0.8064516129032258,4.419354838709677,0.21539342912827567,0.05197213462030197,0.16342129450797369,3.6163577954171657,0.9645107346920034,2.6518470607251623,-0.09395161290322594,0.03870967741935484,0.13266129032258078
New Era CC,CAND_0513,5.322006705519031,4.930860652166062,5.9087257855484845,3.686272,3.6388401181760286,0.04743188182397162,22585.34,11257.0,11328.34,0.291266,0.2510531504884826,0.040212849511517434,0.202592,0.24261896491837442,0.04002696491837443,6126.88,3093.5681795336973,3033.311820466303,5.548387096774194,2.3548387096774195,3.1935483870967745,0.24566320882369688,0.20918883447431993,0.03647437434937695,2.600728305902758,1.8412546055264951,0.7594737003762628,-0.015725806451613054,-0.026209677419354874,0.01048387096774182
Team Pursuit,CAND_0168,9.458807227501053,11.589348680910865,6.262995047386335,4.575201,3.5498215527036736,1.0253794472963262,24455.18,12171.0,12284.18,0.334521,0.28073364177131527,0.053787358228684745,0.256847,0.23279142165340713,0.02405557834659286,5345.16,3428.623050285478,1916.536949714522,7.096774193548387,0.7741935483870968,6.32258064516129,0.29019513221936566,0.06360969093641415,0.2265854412829515,3.5952911740818436,1.0986700881242837,2.49662108595756,-0.027016129032258144,-0.010887096774193571,0.01612903225806457
